"company","well_id","sensor_type","timestamp","value","unit"
ESTACADO_ENERGY,W0001,temperature,"2025-08-27T00:00:00+00:00",231.856,F
Estacado Energy,W0001,pressure,"2025-08-27T00:00:00Z",5039.006,psi
EE,W0001,vibration,"2025-08-27T00:00:00+00:00",2.251,mm/s
estacado,W0001,flow_rate,"2025-08-27T00:00:00Z",28.063,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T01:00:00Z",220.462,F
Estacado Energy,W0001,pressure,"2025-08-27T01:00:00+00:00",5630.787,psi
estacado,W0001,vibration,"2025-08-27T01:00:00Z",3.095,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T01:00:00Z",20.532,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T02:00:00Z",192.995,F
ESTACADO_ENERGY,W0001,pressure,"2025-08-27T02:00:00Z",7764.167,psi
Estacado Energy ,W0001,vibration,"2025-08-27T02:00:00Z",2.692,mm/s
estacado,W0001,flow_rate,"2025-08-27T02:00:00",28.295,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T03:00:00Z",215.428,F
Estacado Energy,W0001,pressure,"2025-08-27T03:00:00Z",5347.286,psi
Estacado Energy,W0001,vibration,"2025-08-27T03:00:00Z",2.224,mm/s
Estacado Energy ,"1",flow_rate,"2025-08-27T03:00:00+00:00",25.396,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T04:00:00+00:00",175.389,F
Estacado Energy,W0001,pressure,"2025-08-27T04:00:00Z",6321.077,psi
Estacado Energy,W0001,vibration,"2025-08-27T04:00:00Z",1.894,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T04:00:00Z",22.302,bbl/hr
Estacado Energy ,W0001,temperature,"2025-08-27T05:00:00Z",189.842,F
Estacado Energy,W0001,pressure,"2025-08-27T05:00:00+00:00",7040.39,psi
Estacado Energy,w0001,vibration,"2025-08-27T05:00:00Z",2.463,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T05:00:00Z",22.49,bbl/hr
EE,W0001,temperature,"2025-08-27T06:00:00Z",233.205,F
Estacado Energy,W0001,pressure,"2025-08-27T06:00:00Z",5826.135,psi
Estacado Energy,W0001,vibration,"2025-08-27T06:00:00Z",2.248,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T06:00:00",16.238,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T07:00:00Z",178.856,F
Estacado Energy,w0001,pressure,"2025-08-27T07:00:00Z",7326.483,psi
Estacado Energy,W0001,vibration,"2025-08-27T07:00:00Z",2.582,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T07:00:00Z",26.03,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T08:00:00Z",203.178,F
estacado,W0001,pressure,"2025-08-27T08:00:00Z",6709.461,psi
Estacado Energy,W0001,vibration,"2025-08-27T08:00:00+00:00",,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T08:00:00+00:00",23.121,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T09:00:00Z",174.204,F
Estacado Energy,W0001,pressure,"2025-08-27T09:00:00Z",6937.664,psi
Estacado Energy,W0001,vibration,"2025-08-27T09:00:00Z",3.215,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T09:00:00Z",23.618,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T10:00:00Z",201.309,F
Estacado Energy ,W0001,pressure,"2025-08-27T10:00:00+00:00",4385.545,psi
Estacado Energy,W0001,vibration,"2025-08-27T10:00:00+00:00",8.465,mm/s
estacado,W0001,flow_rate,"2025-08-27T10:00:00Z",24.547,bbl/hr
EE,W0001,temperature,"2025-08-27T11:00:00Z",177.881,F
Estacado Energy,W0001,pressure,"2025-08-27T11:00:00+00:00",6281.689,psi
Estacado Energy,W0001,vibration,"2025-08-27T11:00:00",3.293,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T11:00:00Z",19.867,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T12:00:00",203.971,F
ESTACADO_ENERGY,W0001,pressure,"2025-08-27T12:00:00Z",6020.156,psi
Estacado Energy,"1",vibration,"2025-08-27T12:00:00Z",1.721,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T12:00:00Z",21.38,bbl/hr
EE,W0001,temperature,"2025-08-27T13:00:00Z",219.662,F
Estacado Energy,W0001,pressure,"2025-08-27T13:00:00Z",5953.205,psi
Estacado Energy,W0001,vibration,"2025-08-27T13:00:00Z",2.512,mm/s
Estacado Energy,W0001,flow_rate,"2025-08-27T13:00:00Z",21.212,bbl/hr
Estacado Energy,W0001,temperature,"2025-08-27T14:00:00Z",198.888,F
Estacado Energy,W0001,pressure,"2025-08-27T14:00:00Z",5668.733,psi
Estacado Energy,W0001,vibration,"2025-08-27T14:00:00Z",2.609,mm/s
