well_id,total_readings,temp_below_60_count,temp_above_302_count,temp_total_anomalies,pressure_below_200_count,pressure_above_10000_count,pressure_total_anomalies,combined_total_anomalies
W0001,8643,4,294,298,3,362,365,663
W0002,8628,4,13,17,8581,0,8581,8598
W0003,8636,4,344,348,3,248,251,599
W0004,8620,3,11,14,8575,0,8575,8589
W0005,8611,2,244,246,8,409,417,663
W0006,8641,7,379,386,5,355,360,746
W0007,8629,6,244,250,4,480,484,734
W0008,8615,0,273,273,2,348,350,623
W0009,8639,5,223,228,2,489,491,719
W0010,8627,5,957,962,4,659,663,1625
W0011,8638,6,14,20,8574,0,8574,8594
W0012,8615,6,13,19,8581,0,8581,8600
W0013,8644,8,10,18,8526,0,8526,8544
W0014,8628,3,417,420,2,417,419,839
W0015,8648,3,345,348,4,347,351,699
W0016,8629,7,298,305,2,366,368,673
W0017,8628,3,1077,1080,9,582,591,1671
W0018,8633,1,299,300,7,470,477,777
W0019,8647,3,1185,1188,8,745,753,1941
W0020,8631,5,1209,1214,5,697,702,1916
W0021,8622,2,326,328,5,409,414,742
W0022,8627,1,241,242,3,320,323,565
W0023,8630,6,284,290,4,355,359,649
W0024,8623,6,247,253,2,446,448,701
W0025,8626,5,389,394,3,306,309,703
W0026,8640,4,330,334,7,306,313,647
W0027,8630,0,357,357,7,406,413,770
W0028,8618,5,232,237,3,356,359,596
W0029,8601,5,13,18,8567,0,8567,8585
W0030,8640,8,222,230,4,337,341,571
W0031,8638,7,11,18,8569,0,8569,8587
W0032,8621,6,14,20,8565,0,8565,8585
W0033,8630,3,563,566,6,315,321,887
W0034,8645,3,178,181,4,338,342,523
W0035,8649,3,239,242,4,431,435,677
W0036,8614,2,18,20,8551,0,8551,8571
W0037,8607,2,1578,1580,3,695,698,2278
W0038,8621,5,17,22,8574,0,8574,8596
W0039,8620,2,218,220,6,270,276,496
W0040,8618,4,256,260,5,433,438,698
